"","date","cumulative_cases"
"1",2020-03-07,5
"2",2020-03-08,5
"3",2020-03-09,5
"4",2020-03-10,5
"5",2020-03-11,5
"6",2020-03-12,7
"7",2020-03-13,7
"8",2020-03-14,9
"9",2020-03-15,9
"10",2020-03-16,8
"11",2020-03-17,14
"12",2020-03-18,18
"13",2020-03-19,21
"14",2020-03-20,26
"15",2020-03-21,28
"16",2020-03-22,31
"17",2020-03-23,37
"18",2020-03-24,41
"19",2020-03-25,45
"20",2020-03-26,55
"21",2020-03-27,63
"22",2020-03-28,76
"23",2020-03-29,91
"24",2020-03-30,109
"25",2020-03-31,126
"26",2020-04-01,155
"27",2020-04-02,195
"28",2020-04-03,224
"29",2020-04-04,252
"30",2020-04-05,293
"31",2020-04-06,323
"32",2020-04-07,361
"33",2020-04-08,395
"34",2020-04-09,454
"35",2020-04-10,512
"36",2020-04-11,556
"37",2020-04-12,611
"38",2020-04-13,643
"39",2020-04-14,694
"40",2020-04-15,724
"41",2020-04-16,744
"42",2020-04-17,788
"43",2020-04-18,812
"44",2020-04-19,833
"45",2020-04-20,852
"46",2020-04-21,872
"47",2020-04-22,894
"48",2020-04-23,929
"49",2020-04-24,951
"50",2020-04-25,976
"51",2020-04-26,989
"52",2020-04-27,1011
"53",2020-04-28,1033
"54",2020-04-29,1047
"55",2020-04-30,1060
"56",2020-05-01,1092
"57",2020-05-02,1118
"58",2020-05-03,1154
"59",2020-05-04,1168
"60",2020-05-05,1192
"61",2020-05-06,1204
"62",2020-05-07,1257
"63",2020-05-08,1279
"64",2020-05-09,1302
"65",2020-05-10,1326
"66",2020-05-11,1334
"67",2020-05-12,1349
"68",2020-05-13,1362
"69",2020-05-14,1376
"70",2020-05-15,1395
"71",2020-05-16,1404
"72",2020-05-17,1410
"73",2020-05-18,1428
"74",2020-05-19,1445
"75",2020-05-20,1462
"76",2020-05-21,1482
"77",2020-05-22,1502
"78",2020-05-23,1512
"79",2020-05-24,1524
"80",2020-05-25,1529
"81",2020-05-26,1538
"82",2020-05-27,1552
"83",2020-05-28,1558
"84",2020-05-29,1565
"85",2020-05-30,1570
"86",2020-05-31,1578
"87",2020-06-01,1584
"88",2020-06-02,1587
"89",2020-06-03,1597
"90",2020-06-04,1607
"91",2020-06-05,1612
"92",2020-06-06,1620
"93",2020-06-07,1626
"94",2020-06-08,1631
"95",2020-06-09,1635
"96",2020-06-10,1636
"97",2020-06-11,1643
"98",2020-06-12,1648
"99",2020-06-13,1659
"100",2020-06-14,1671
"101",2020-06-15,1676
"102",2020-06-16,1685
"103",2020-06-17,1693
"104",2020-06-18,1697
"105",2020-06-19,1703
"106",2020-06-20,1708
"107",2020-06-21,1711
"108",2020-06-22,1714
"109",2020-06-23,1720
"110",2020-06-24,1720
"111",2020-06-25,1727
"112",2020-06-26,1728
"113",2020-06-27,1737
"114",2020-06-28,1740
"115",2020-06-29,1743
"116",2020-06-30,1741
"117",2020-07-01,1744
"118",2020-07-02,2835
"119",2020-07-03,2841
"120",2020-07-04,2862
"121",2020-07-05,2873
"122",2020-07-06,2884
"123",2020-07-07,2895
"124",2020-07-08,2905
"125",2020-07-09,2915
"126",2020-07-10,2925
"127",2020-07-11,2938
"128",2020-07-12,2947
"129",2020-07-13,2959
"130",2020-07-14,2972
"131",2020-07-15,2983
"132",2020-07-16,2987
"133",2020-07-17,3004
"134",2020-07-18,3019
"135",2020-07-19,3030
"136",2020-07-20,3041
"137",2020-07-21,3047
"138",2020-07-22,3059
"139",2020-07-23,3068
"140",2020-07-24,3084
"141",2020-07-25,3113
"142",2020-07-26,3135
"143",2020-07-27,3158
"144",2020-07-28,3174
"145",2020-07-29,3206
"146",2020-07-30,3235
"147",2020-07-31,3269
"148",2020-08-01,3306
"149",2020-08-02,3325
"150",2020-08-03,3354
"151",2020-08-04,3375
"152",2020-08-05,3397
"153",2020-08-06,3432
"154",2020-08-07,3460
"155",2020-08-08,3483
