"","x"
"1",17
"2",18
"3",20
"4",21
"5",23
"6",25
"7",27
"8",30
"9",33
"10",37
"11",42
"12",48
"13",55
"14",64
"15",75
"16",89
"17",106
"18",127
"19",152
"20",182
"21",217
"22",259
"23",306
"24",358
"25",414
"26",473
"27",533
"28",592
"29",649
"30",701
"31",748
"32",788
"33",818
"34",839
"35",849
"36",848
"37",836
"38",814
"39",784
"40",747
"41",708
"42",666
"43",626
"44",587
"45",550
"46",518
"47",490
"48",466
"49",448
"50",435
"51",427
"52",423
"53",422
"54",424
"55",428
"56",433
"57",439
"58",444
"59",449
"60",452
"61",453
"62",451
"63",445
"64",437
"65",426
"66",412
"67",398
"68",381
"69",364
"70",347
"71",329
"72",311
"73",294
"74",277
"75",261
"76",246
"77",231
"78",218
"79",206
"80",195
"81",185
"82",176
"83",168
"84",162
"85",156
"86",152
"87",148
"88",146
"89",144
"90",142
"91",141
"92",140
"93",139
"94",138
"95",137
"96",135
"97",133
"98",130
"99",127
"100",123
"101",118
"102",114
"103",109
"104",104
"105",99
"106",93
"107",88
"108",84
"109",79
"110",75
