"MSOA11CD","cases"
"E02003012",5
"E02003013",5
"E02003014",5
"E02003015",5
"E02003016",5
"E02003017",5
"E02003018",5
"E02003019",5
"E02003020",5
"E02003021",5
"E02003022",5
"E02003023",5
"E02003024",5
"E02003025",5
"E02003026",5
"E02003027",5
"E02003028",5
"E02003029",5
"E02003030",5
"E02003031",5
"E02003032",5
"E02003033",5
"E02003034",5
"E02003036",5
"E02003037",5
"E02003038",5
"E02003039",5
"E02003040",5
"E02003041",5
"E02003043",5
"E02003044",5
"E02003045",5
"E02003046",5
"E02003047",5
"E02003048",5
"E02003049",5
"E02003050",5
"E02003051",5
"E02003052",5
"E02003053",5
"E02003054",5
"E02003055",5
"E02003056",5
"E02003057",5
"E02003058",5
"E02003059",5
"E02003060",5
"E02003061",5
"E02003062",5
"E02003063",5
"E02003064",5
"E02006887",5
"E02006888",5
"E02006889",5
"E02006890",5
