MSOA11CD,cases
E02001045,5
E02001046,5
E02001047,5
E02001048,5
E02001049,5
E02001050,5
E02001051,5
E02001052,5
E02001053,5
E02001055,5
E02001056,5
E02001057,5
E02001059,5
E02001061,5
E02001062,5
E02001063,5
E02001064,5
E02001065,5
E02001066,5
E02001067,5
E02001068,5
E02001069,5
E02001070,5
E02001071,5
E02001072,5
E02001073,5
E02001074,5
E02001075,5
E02001076,5
E02001077,5
E02001078,5
E02001079,5
E02001080,5
E02001081,5
E02001082,5
E02001083,5
E02001084,5
E02001085,5
E02001086,5
E02001087,5
E02001088,5
E02001089,5
E02001090,5
E02001091,5
E02001092,5
E02001093,5
E02001094,5
E02001095,5
E02001096,5
E02001097,5
E02006902,5
E02006912,5
E02006913,5
E02006914,5
E02006915,5
E02006916,5
E02006917,5
